stateid,vaccinateddose1ratio,vaccinateddose2ratio
TG,0.19232368567527408,0.06529752060846297
UP,0.23943459647205498,0.04565745116153963
BR,0.2443270721309077,0.04823704921694346
JH,0.26226568583772764,0.060864823649995854
WB,0.2639403968117888,0.10055361691081457
ML,0.2698979105789215,0.07383956154625325
PB,0.2725039921748189,0.08250808010612062
TN,0.2726495861262722,0.061615434773122965
CT,0.2958421688652557,0.09099144381226655
NL,0.3231631810329229,0.08488240092757046
AS,0.328715739776763,0.07182799638115957
MN,0.34180686702192103,0.07911845182110475
MH,0.35221464857771906,0.12429539010170117
OR,0.361132529182846,0.10617763709197396
HR,0.3729758178022485,0.11257056571750537
AP,0.3746977803999943,0.12772494875090987
KA,0.38958318902220984,0.11764584275870489
AR,0.4014609045570947,0.11650019662388432
TR,0.4032167847014508,0.14640396067739145
RJ,0.41590753591107193,0.13156352702545185
MP,0.4336920049330634,0.08434605893903556
GJ,0.45029529914728444,0.14341947895551596
JK,0.45212530548390223,0.12826529164027134
PY,0.494565668646269,0.12755561184138245
KL,0.5173220212942795,0.19929955225789714
UT,0.5496805465164936,0.16993057042855847
LA,0.58810244172668,0.21305095098080992
MZ,0.6016272240581987,0.1984048574287782
CH,0.695039082855654,0.23151357240987255
HP,0.72059455837945,0.22025839750927773
GA,0.7629624043138882,0.22619048435255684
LD,0.8015448327206738,0.2772478401811611
DN,1.022499763614762,0.20109600529502933
DL,4.563646094476212,2.2542815695332528
