stateid,vaccinationratio,populationratio,ratioofratios
NL,0.7523847773701235,0.9309070715923209,0.8082275882630968
DL,0.6859113351968442,0.8219188627440918,0.8345243871236058
JK,0.7455523824517059,0.8919171561092959,0.8358986900800746
UP,0.7805446353804663,0.9120350193793878,0.8558274833696663
AR,0.8042068738444393,0.9390089894545157,0.8564421457899088
JH,0.8298622564235161,0.9451982026909841,0.8779769725131661
LD,0.8319943102494534,0.9464722398333484,0.8790477683697814
MN,0.8669173936818035,0.9851395745544583,0.879994486135508
TG,0.8688504429652854,0.986942950731828,0.880345153001016
GA,0.8596636196403641,0.9733000514110994,0.8832462490821981
GJ,0.8276429474255214,0.9193422266102022,0.9002555560590376
PB,0.8069284282077284,0.8956795913921871,0.9009119287327854
MH,0.8456608810157248,0.9362633106677181,0.9032297553266527
MP,0.8456634115358225,0.9299683538924701,0.9093464395817542
ML,0.8967162142153613,0.9850804332069775,0.9102974579406251
OR,0.8965430158330925,0.9800757991384251,0.9147690582924652
CH,0.7546896226228866,0.8176636017793454,0.9229830225786999
DN,0.577820433961864,0.6183990791811099,0.9343811357659514
AS,0.8957232319358874,0.9577582478885868,0.9352289410303093
WB,0.8980023472920684,0.9490192594962347,0.9462424901352925
HR,0.8401395514384723,0.8789120931384315,0.9558857569458287
BR,0.8826558049228459,0.9190983057469935,0.9603497247288155
RJ,0.9035009416448411,0.9274941287837957,0.9741311708674465
TN,0.9758689684839658,0.995974378771749,0.9798133258080619
CT,0.9817697253926896,0.9929387045271184,0.9887515925368747
UT,0.9429775115416613,0.9536749960090992,0.9887828825205607
TR,0.9507338376957786,0.9600747128644412,0.9902706788924858
KL,1.0862531101289639,1.0843078720382304,1.0017939905638396
MZ,0.9819813106061632,0.975740943819901,1.0063955159674165
PY,1.055091250685835,1.037434425249056,1.0170197026501604
HP,0.9989497595051896,0.9718545516458242,1.0278799001491323
LA,0.8503067685947702,0.8101433438323584,1.0495757017176983
KA,1.0533021846810486,0.9874130165956606,1.066729085983246
AP,1.193166712540779,0.9978956392916232,1.195682860572247
